IBM,Azure,Google,AWS,sentiment
0.782654,0.8228909969329831,0.20000000298023224,0.8376826643943781,neutral
-0.615109,0.23272702097892706,0.20000000298023224,0.8240369558334351,positive
0.8759929999999999,0.5,0.20000000298023224,0.955766320228576,positive
0.918692,0.85768973827362,0.10000000149011612,0.9363596439361572,positive
0.689076,0.948063850402832,0.0,0.9798415899276732,neutral
0.0,0.5,0.0,0.9822125434875479,neutral
0.621873,0.948387503623962,0.20000000298023224,0.5476582646369931,neutral
-0.5554819999999999,0.5,-0.10000000149011612,0.824103891849517,neutral
0.306983,0.878406047821044,0.0,0.42407044768333396,positive
0.604251,0.8363883495330809,0.30000001192092896,0.451067119836807,positive
0.869552,0.7885082364082331,0.4000000059604645,0.8981547355651851,positive
-0.6586449999999999,0.5,0.0,0.9820127487182609,neutral
0.5939829999999999,0.8843703269958492,0.30000001192092896,0.4877738058567041,neutral
0.289327,0.5,-0.10000000149011612,0.6830273866653439,neutral
0.767408,0.8173971176147461,0.10000000149011612,0.8390945792198181,neutral
0.531754,0.5,0.30000001192092896,0.940046787261962,positive
0.756869,0.5,0.5,0.6617278456687921,positive
0.604459,0.8683847784996029,0.0,0.6142793893814079,positive
0.6315879999999999,0.5,0.20000000298023224,0.5142688751220701,positive
0.0,0.5,0.0,0.969882309436798,neutral
0.923533,0.975216269493103,-0.10000000149011612,0.8339918851852409,neutral
0.7057500000000001,0.8700011968612671,0.20000000298023224,0.495712757110595,neutral
-0.5615439999999999,0.5,0.10000000149011612,0.6843857765197751,negative
0.810435,0.8897794485092161,0.0,0.7537692785263058,neutral
0.434633,0.5,0.0,0.631288647651672,positive
0.408744,0.5,0.0,0.939216017723083,neutral
0.0,0.5,0.0,0.957161366939544,neutral
0.733236,0.5,0.20000000298023224,0.6965389251708981,neutral
0.610949,0.5,0.10000000149011612,0.8315622806549071,negative
0.7173729999999999,0.765602350234985,0.20000000298023224,0.39564016461372303,neutral
0.8602000000000001,0.9309549331665029,0.4000000059604645,0.52125996351242,neutral
0.0,0.5,0.0,0.6990617513656611,neutral
0.855567,0.8032628297805781,0.10000000149011612,0.5499842166900629,neutral
0.701905,0.9509507417678832,0.10000000149011612,0.864298939704895,neutral
0.43321800000000005,0.5,-0.10000000149011612,0.58864152431488,neutral
0.7296060000000001,0.970948219299316,0.20000000298023224,0.922510623931884,neutral
0.582058,0.5,0.0,0.4732873737812041,neutral
0.8457819999999999,0.5,0.30000001192092896,0.6918915510177609,positive
0.8710450000000001,0.5,0.30000001192092896,0.573053359985351,neutral
-0.5982839999999999,0.17515039443969702,-0.20000000298023224,0.4713178277015681,positive
0.4802300000000001,0.19544219970703106,0.0,0.671241402626037,neutral
0.567448,0.7367305755615231,-0.30000001192092896,0.5653361678123471,neutral
0.796095,0.5,0.30000001192092896,0.610248923301696,positive
0.468369,0.5,0.10000000149011612,0.615615904331207,negative
0.0,0.5,0.0,0.9754825830459591,neutral
0.6391629999999999,0.76116919517517,0.0,0.5982559323310851,neutral
0.782091,0.932752788066864,0.30000001192092896,0.6368435025215141,neutral
-0.27675700000000003,0.211186289787292,0.20000000298023224,0.4541070461273191,negative
0.562754,0.5,0.0,0.7462472319602961,negative
-0.6222770000000001,0.17980471253395003,0.10000000149011612,0.8643908500671381,negative
0.920432,0.9696148633956899,0.6000000238418579,0.717392086982727,positive
0.5337350000000001,0.14182400703430098,0.4000000059604645,0.540746331214904,negative
0.739332,0.8678795695304871,0.20000000298023224,0.7804401516914361,positive
0.0,0.5,0.0,0.988194108009338,neutral
0.730876,0.8496013879776001,0.20000000298023224,0.641902983188629,neutral
0.614437,0.922379612922668,0.0,0.41494670510292,neutral
0.822268,0.8236362338066101,0.20000000298023224,0.844850182533264,positive
0.5308400000000001,0.7532708644866941,0.30000001192092896,0.920587301254272,positive
0.5905349999999999,0.5,0.10000000149011612,0.615541458129882,positive
0.8052520000000001,0.934090971946716,0.6000000238418579,0.8124570250511159,positive
0.0,0.5,0.0,0.981728374958038,neutral
0.824317,0.5,0.10000000149011612,0.522759795188903,positive
0.7304200000000001,0.5,0.20000000298023224,0.556937217712402,neutral
0.8315,0.900909543037414,0.4000000059604645,0.5306710004806511,positive
0.871733,0.939898967742919,0.30000001192092896,0.51477563381195,positive
0.952525,0.923332154750824,0.0,0.454174071550369,positive
0.7372449999999999,0.9841804504394532,0.20000000298023224,0.5166166424751281,positive
0.915226,0.987855076789856,0.4000000059604645,0.9944844841957092,neutral
0.978613,0.9465346336364742,0.0,0.5190496444702141,neutral
0.669519,0.8981785178184499,0.20000000298023224,0.8734685182571411,neutral
0.6934939999999999,0.8134584426879881,0.10000000149011612,0.9674056768417352,positive
0.6033350000000001,0.5,0.5,0.42893981933593706,neutral
0.383915,0.922171115875244,0.10000000149011612,0.401329100131988,negative
0.8689879999999999,0.972380638122558,0.10000000149011612,0.716396152973175,neutral
0.7576970000000001,0.5,-0.10000000149011612,0.868484616279602,negative
-0.592591,0.25913220643997104,0.30000001192092896,0.5562332868576051,negative
-0.330096,0.5,-0.10000000149011612,0.4382939040660849,positive
0.438461,0.7623875141143791,0.20000000298023224,0.482647031545639,negative
0.551895,0.7723916172981261,0.5,0.533265590667724,positive
0.711394,0.5,0.0,0.7468660473823541,neutral
0.872181,0.7236795425415029,0.5,0.6515659689903249,positive
0.7412369999999999,0.952637791633606,0.5,0.5300382375717161,positive
0.705457,0.86097502708435,0.10000000149011612,0.84593665599823,neutral
0.682049,0.741212964057922,0.4000000059604645,0.5857801437377931,negative
0.512178,0.5,0.10000000149011612,0.9161093235015859,neutral
0.555222,0.8604646921157829,0.5,0.6595963835716241,negative
0.5263899999999999,0.683063149452209,0.0,0.7046098113059991,negative
0.817214,0.7817479372024531,0.10000000149011612,0.643155217170715,positive
0.640606,0.190064042806625,0.30000001192092896,0.9650545120239252,positive
-0.30848200000000003,0.5,0.6000000238418579,0.6295798420906059,negative
0.715444,0.5,0.30000001192092896,0.702094972133636,neutral
0.322562,0.155676275491714,0.30000001192092896,0.502909421920776,negative
